id,ident,type,name,lat,long,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
2213,EDDG,large_airport,Münster Osnabrück Airport,52.134601593,7.68483018875,160,EU,DE,DE-NW,Münster,1,EDDG,FMO,,,http://en.wikipedia.org/wiki/M%C3%BCnster_Osnabr%C3%BCck_International_Airport,
2219,EDDN,large_airport,Nuremberg Airport,49.4986991882,11.066900253299998,1046,EU,DE,DE-BY,Nuremberg,1,EDDN,NUE,,,http://en.wikipedia.org/wiki/Nuremberg_Airport,Nürnberg
2718,ETAR,large_airport,Ramstein Air Base,49.4369010925293,7.600279808044434,776,EU,DE,DE-RP,Ramstein,0,ETAR,RMS,,http://www.ramstein.af.mil/,http://en.wikipedia.org/wiki/Ramstein_Air_Base,Landstuhl Air Base
2222,EDDS,large_airport,Stuttgart Airport,48.689899444599995,9.22196006775,1276,EU,DE,DE-BW,Stuttgart,1,EDDS,STR,,http://www.flughafen-stuttgart.de/,http://en.wikipedia.org/wiki/Stuttgart_Airport,
2562,EKYT,large_airport,Aalborg Airport,57.0927589138,9.84924316406,10,EU,DK,DK-81,Aalborg,1,EKYT,AAL,,http://www.aal.dk,http://en.wikipedia.org/wiki/Aalborg_Airport,
2541,EKBI,large_airport,Billund Airport,55.7402992249,9.15178012848,247,EU,DK,DK-83,Billund,1,EKBI,BLL,,http://www.billund-airport.dk/?sc_lang=en,http://en.wikipedia.org/wiki/Billund_Airport,
2542,EKCH,large_airport,Copenhagen Kastrup Airport,55.617900848389,12.656000137329,17,EU,DK,DK-84,Copenhagen,1,EKCH,CPH,,http://www.cph.dk/en/,http://en.wikipedia.org/wiki/Copenhagen_Airport,"København, Malmö"
2301,EETN,large_airport,Lennart Meri Tallinn Airport,59.41329956049999,24.832799911499997,131,EU,EE,EE-37,Tallinn,1,EETN,TLL,,http://www.tallinn-airport.ee/eng,http://en.wikipedia.org/wiki/Tallinn_Airport,
3997,LEAL,large_airport,Alicante International Airport,38.28219985961914,-0.5581560134887695,142,EU,ES,ES-V,Alicante,1,LEAL,ALC,,http://www.aena.es/csee/Satellite?cid=1049437849176&pagename=subHome&Language=EN_GB&SiteName=ALC&c=Page,http://en.wikipedia.org/wiki/Alicante_Airport,
4004,LEBL,large_airport,Barcelona International Airport,41.297100067139,2.0784599781036,12,EU,ES,ES-CT,Barcelona,1,LEBL,BCN,,http://www.aena.es/csee/Satellite?cid=1045569607459&pagename=subHome&Language=EN_GB&SiteName=BCN&c=Page,http://en.wikipedia.org/wiki/Barcelona_International_Airport,
3081,GCLP,large_airport,Gran Canaria Airport,27.931900024414062,-15.38659954071045,78,EU,ES,ES-CN,Gran Canaria Island,1,GCLP,LPA,,http://www.aena.es/csee/Satellite?pagename=subHome&Language=EN_GB&c=Page&SiteName=LPA&cid=1048858940184,http://en.wikipedia.org/wiki/Gran_Canaria_Airport,"Canary Islands, Las Palmas Airport, Gando Airport"
4019,LEMD,large_airport,Adolfo Suárez Madrid–Barajas Airport,40.4936,-3.56676,1998,EU,ES,ES-M,Madrid,1,LEMD,MAD,,http://www.aena.es/csee/Satellite?cid=1049727006353&pagename=subHome&SiteName=MAD&c=Page&Language=EN_GB,http://en.wikipedia.org/wiki/Adolfo_Su%C3%A1rez_Madrid%E2%80%93Barajas_Airport#cite_note-1,"Leganés, Madrid Barajas International Airport"
4020,LEMG,large_airport,Málaga Airport,36.67490005493164,-4.499110221862793,53,EU,ES,ES-AN,Málaga,1,LEMG,AGP,,,http://en.wikipedia.org/wiki/M%C3%A1laga_Airport,Costa del Sol
4035,LEPA,large_airport,Palma De Mallorca Airport,39.551700592,2.73881006241,27,EU,ES,ES-PM,Palma De Mallorca,1,LEPA,PMI,,http://www.aena.es/csee/Satellite?cid=1046276292735&pagename=subHome&Language=EN_GB&SiteName=PMI&c=Page,http://en.wikipedia.org/wiki/Son_Sant_Joan_Airport,"Son Sant Joan Airport, LESJ"
4038,LEST,large_airport,Santiago de Compostela Airport,42.89630126953125,-8.415140151977539,1213,EU,ES,ES-GA,Santiago de Compostela,1,LEST,SCQ,,,http://en.wikipedia.org/wiki/Santiago_de_Compostela_Airport,
3083,GCTS,large_airport,Tenerife South Airport,28.044500351,-16.5725002289,209,EU,ES,ES-CN,Tenerife Island,1,GCTS,TFS,,,http://en.wikipedia.org/wiki/Tenerife_South_Airport,"Canary Islands, Reina Sofía, TCI"
3084,GCXO,large_airport,Tenerife Norte Airport,28.482700347900003,-16.3414993286,2076,EU,ES,ES-CN,Tenerife Island,1,GCXO,TFN,,,http://en.wikipedia.org/wiki/Los_Rodeos_Airport,"Canary Islands, Los Rodeos"
2307,EFHK,large_airport,Helsinki Vantaa Airport,60.317199707031,24.963300704956,179,EU,FI,FI-ES,Helsinki,1,EFHK,HEL,,http://www.finavia.fi/en/helsinki-airport,http://en.wikipedia.org/wiki/Helsinki-Vantaa_Airport,
4168,LFOA,large_airport,Avord (BA 702) Air Base,47.05329895019531,2.632499933242798,580,EU,FR,FR-F,Avord,0,LFOA,,,,,
4060,LFBD,large_airport,Bordeaux-Mérignac Airport,44.828300476100004,-0.715556025505,162,EU,FR,FR-B,Bordeaux/Mérignac,1,LFBD,BOD,,,http://en.wikipedia.org/wiki/Bordeaux%E2%80%93M%C3%A9rignac_Airport,
4226,LFSB,large_airport,EuroAirport Basel-Mulhouse-Freiburg Airport,47.589599609400004,7.52991008759,885,EU,FR,FR-A,Bâle/Mulhouse,1,LFSB,BSL,,http://www.euroairport.com/,http://en.wikipedia.org/wiki/EuroAirport_Basel-Mulhouse-Freiburg,"MLH, EAP"
4155,LFML,large_airport,Marseille Provence Airport,43.439271922,5.22142410278,74,EU,FR,FR-U,Marseille,1,LFML,MRS,,,http://en.wikipedia.org/wiki/Marseille_Provence_Airport,
4156,LFMN,large_airport,Nice-Côte d'Azur Airport,43.6584014893,7.215869903560001,12,EU,FR,FR-U,Nice,1,LFMN,NCE,,,http://en.wikipedia.org/wiki/C%C3%B4te_d'Azur_International_Airport,
4185,LFPG,large_airport,Charles de Gaulle International Airport,49.0127983093,2.54999995232,392,EU,FR,FR-J,Paris,1,LFPG,CDG,,http://www.aeroportsdeparis.fr/,http://en.wikipedia.org/wiki/Charles_de_Gaulle_International_Airport,"PAR, Aéroport Roissy-Charles de Gaulle, Roissy Airport"
4070,LFBO,large_airport,Toulouse-Blagnac Airport,43.62910079956055,1.36381995677948,499,EU,FR,FR-N,Toulouse/Blagnac,1,LFBO,TLS,,,http://en.wikipedia.org/wiki/Toulouse_Blagnac_International_Airport,
2459,EGPD,large_airport,Aberdeen Dyce Airport,57.201900482177734,-2.197779893875122,215,EU,GB,GB-SCT,Aberdeen,1,EGPD,ABZ,,http://www.aberdeenairport.com/,http://en.wikipedia.org/wiki/Aberdeen_Airport,
2385,EGAA,large_airport,Belfast International Airport,54.6575012207,-6.2158298492399995,268,EU,GB,GB-NIR,Belfast,1,EGAA,BFS,,http://www.belfastairport.com/,http://en.wikipedia.org/wiki/Belfast_International_Airport,"Aldergrove, RAF Aldergrove"
2389,EGBB,large_airport,Birmingham International Airport,52.453899383499994,-1.74802994728,327,EU,GB,GB-ENG,Birmingham,1,EGBB,BHX,,http://www.bhx.co.uk/,http://en.wikipedia.org/wiki/Birmingham_International_Airport_(United_Kingdom),
2417,EGGD,large_airport,Bristol International Airport,51.3827018737793,-2.719089984893799,622,EU,GB,GB-ENG,Bristol,1,EGGD,BRS,,http://www.bristolairport.co.uk/,http://en.wikipedia.org/wiki/Bristol_International_Airport,Lulsgate Bottom
2415,EGFF,large_airport,Cardiff International Airport,51.39670181274414,-3.343329906463623,220,EU,GB,GB-WLS,Cardiff,1,EGFF,CWL,,http://www.cwlfly.com/,http://en.wikipedia.org/wiki/Cardiff_International_Airport,Rhoose
2462,EGPH,large_airport,Edinburgh Airport,55.95000076293945,-3.372499942779541,135,EU,GB,GB-SCT,Edinburgh,1,EGPH,EDI,,http://www.edinburghairport.com/,http://en.wikipedia.org/wiki/Edinburgh_Airport,
2481,EGTE,large_airport,Exeter International Airport,50.73440170288086,-3.4138898849487305,102,EU,GB,GB-ENG,Exeter,1,EGTE,EXT,,http://www.exeter-airport.co.uk/,http://en.wikipedia.org/wiki/Exeter_International_Airport,
2461,EGPF,large_airport,Glasgow International Airport,55.8718986511,-4.43306016922,26,EU,GB,GB-SCT,Glasgow,1,EGPF,GLA,,http://www.glasgowairport.com/,http://en.wikipedia.org/wiki/Glasgow_International_Airport,"Port-adhair Eadar-nàiseanta Ghlaschu, RAF Abbotsinch, RAF Ayr"
2444,EGNM,large_airport,Leeds Bradford Airport,53.86589813232422,-1.6605700254440308,681,EU,GB,GB-ENG,Leeds,1,EGNM,LBA,,http://www.lbia.co.uk/,http://en.wikipedia.org/wiki/Leeds_Bradford_International_Airport,
2418,EGGP,large_airport,Liverpool John Lennon Airport,53.33359909057617,-2.849720001220703,80,EU,GB,GB-ENG,Liverpool,1,EGGP,LPL,,http://www.liverpoolairport.com/,http://en.wikipedia.org/wiki/Liverpool_John_Lennon_Airport,
2434,EGLL,large_airport,London Heathrow Airport,51.4706001282,-0.461941003799,83,EU,GB,GB-ENG,London,1,EGLL,LHR,,http://www.heathrowairport.com/,http://en.wikipedia.org/wiki/London_Heathrow_Airport,"LON, Londres"
2398,EGCC,large_airport,Manchester Airport,53.35369873046875,-2.2749500274658203,257,EU,GB,GB-ENG,Manchester,1,EGCC,MAN,,http://www.manchesterairport.co.uk/,http://en.wikipedia.org/wiki/Manchester_Airport,"Ringway Airport, RAF Ringway"
2448,EGNT,large_airport,Newcastle Airport,55.037498474121094,-1.6916699409484863,266,EU,GB,GB-ENG,Newcastle,1,EGNT,NCL,,http://www.newcastleairport.com/,http://en.wikipedia.org/wiki/Newcastle_Airport,
2475,EGSH,large_airport,Norwich International Airport,52.6758003235,1.28278005123,117,EU,GB,GB-ENG,Norwich,1,EGSH,NWI,,http://www.norwichairport.co.uk/,http://en.wikipedia.org/wiki/Norwich_International_Airport,RAF Horsham St Faith
2450,EGNX,large_airport,East Midlands Airport,52.8311004639,-1.32806003094,306,EU,GB,GB-ENG,Nottingham,1,EGNX,EMA,,http://www.eastmidlandsairport.com/,http://en.wikipedia.org/wiki/East_Midlands_Airport,RAF Castle Donington
2422,EGHI,large_airport,Southampton Airport,50.95029830932617,-1.3567999601364136,44,EU,GB,GB-ENG,Southampton,1,EGHI,SOU,,http://www.southamptonairport.com/,http://en.wikipedia.org/wiki/Southampton_Airport,"RAF Eastleigh, RAF Southampton"
4251,LGAV,large_airport,Eleftherios Venizelos International Airport,37.9364013672,23.9444999695,308,EU,GR,GR-A1,Athens,1,LGAV,ATH,,http://www.aia.gr,http://en.wikipedia.org/wiki/Athens_International_Airport,
4258,LGIR,large_airport,Heraklion International Nikos Kazantzakis Airport,35.3396987915,25.180299758900002,115,EU,GR,GR-91,Heraklion,1,LGIR,HER,,,http://en.wikipedia.org/wiki/Heraklion_International_Airport%2C_%22Nikos_Kazantzakis%22,Crete Island
4293,LGTS,large_airport,Thessaloniki Macedonia International Airport,40.51969909667969,22.97089958190918,22,EU,GR,GR-54,Thessaloniki,1,LGTS,SKG,,,http://en.wikipedia.org/wiki/Thessaloniki_International_Airport%2C_%22Macedonia%22,Makedonia. Macedonia. Salonica
3993,LDZA,large_airport,Zagreb Airport,45.7429008484,16.0687999725,353,EU,HR,HR-21,Zagreb,1,LDZA,ZAG,,,http://en.wikipedia.org/wiki/Zagreb_Airport,Pleso
4296,LHBP,large_airport,Budapest Ferenc Liszt International Airport,47.436901092499994,19.255599975599996,495,EU,HU,HU-PE,Budapest,1,LHBP,BUD,,http://www.bud.hu/english,http://en.wikipedia.org/wiki/Budapest_Ferenc_Liszt_International_Airport,"Ferihegyi nemzetközi repülőtér, Budapest Liszt Ferenc international Airport"
2530,EICK,large_airport,Cork Airport,51.84130096435547,-8.491109848022461,502,EU,IE,IE-C,Cork,1,EICK,ORK,,http://www.corkairport.com/,http://en.wikipedia.org/wiki/Cork_Airport,Aerfort Chorcaí
2533,EIDW,large_airport,Dublin Airport,53.42129898071289,-6.2700700759887695,242,EU,IE,IE-D,Dublin,1,EIDW,DUB,,http://www.dublinairport.com/,http://en.wikipedia.org/wiki/Dublin_Airport,Aerfort Bhaile Átha Cliath
2537,EINN,large_airport,Shannon Airport,52.701999664307,-8.9248199462891,46,EU,IE,IE-CE,Limerick,1,EINN,SNN,,http://www.shannonairport.com/,http://en.wikipedia.org/wiki/Shannon_Airport,
